SimulationTimeStamp,Received time, Sent time, FlowID, RouteID, SeqNumber, Dest, level, PktType, All latencies, Info Lat, Video Lat, Vibr Lat
1600,1641,1606665492795,1,-1,142,[192.168.1.91- 192.168.1.93],application,video,41,,41,,x
1623,1643,1606665492818,1,-1,144,[192.168.1.91- 192.168.1.93],application,info,20,20,,,x
1632,1648,1606665492827,1,-1,145,[192.168.1.91- 192.168.1.93],application,vibrational,16,,,16,x
1641,1663,1606665492836,1,-1,146,[192.168.1.91- 192.168.1.93],application,info,22,22,,,x
1651,1677,1606665492846,1,-1,147,[192.168.1.91- 192.168.1.93],application,vibrational,26,,,26,x
1660,1690,1606665492855,1,-1,148,[192.168.1.91- 192.168.1.93],application,video,30,,30,,x
1675,1700,1606665492870,1,-1,149,[192.168.1.91- 192.168.1.93],application,info,25,25,,,x
1683,1704,1606665492878,1,-1,150,[192.168.1.91- 192.168.1.93],application,vibrational,21,,,21,x
1692,1710,1606665492887,1,-1,151,[192.168.1.91- 192.168.1.93],application,video,18,,18,,
1700,1745,1606665492895,1,-1,152,[192.168.1.91- 192.168.1.93],application,video,45,,45,,x
1709,1748,1606665492904,1,-1,153,[192.168.1.91- 192.168.1.93],application,video,39,,39,,x
1727,1750,1606665492922,1,-1,154,[192.168.1.91- 192.168.1.93],application,vibrational,23,,,23,x
1736,1763,1606665492931,1,-1,155,[192.168.1.91- 192.168.1.93],application,info,27,27,,,
1749,1771,1606665492944,1,-1,156,[192.168.1.91- 192.168.1.93],application,vibrational,22,,,22,x
1758,1783,1606665492953,1,-1,157,[192.168.1.91- 192.168.1.93],application,info,25,25,,,x
1767,1785,1606665492962,1,-1,158,[192.168.1.91- 192.168.1.93],application,info,18,18,,,x
1775,1795,1606665492970,1,-1,159,[192.168.1.91- 192.168.1.93],application,vibrational,20,,,20,x
1784,1798,1606665492979,1,-1,160,[192.168.1.91- 192.168.1.93],application,info,14,14,,,x
1793,1810,1606665492988,1,-1,161,[192.168.1.91- 192.168.1.93],application,video,17,,17,,x
1801,1820,1606665492996,1,-1,162,[192.168.1.91- 192.168.1.93],application,video,19,,19,,
1810,1828,1606665493005,1,-1,163,[192.168.1.91- 192.168.1.93],application,video,18,,18,,x
1824,1851,1606665493019,1,-1,164,[192.168.1.91- 192.168.1.93],application,vibrational,27,,,27,x
1833,1861,1606665493028,1,-1,165,[192.168.1.91- 192.168.1.93],application,video,28,,28,,x
1841,1891,1606665493036,1,-1,166,[192.168.1.91- 192.168.1.93],application,video,50,,50,,x
1850,1893,1606665493045,1,-1,167,[192.168.1.91- 192.168.1.93],application,vibrational,43,,,43,x
1862,1894,1606665493057,1,-1,168,[192.168.1.91- 192.168.1.93],application,vibrational,32,,,32,x
1871,1897,1606665493066,1,-1,169,[192.168.1.91- 192.168.1.93],application,video,26,,26,,
1879,1902,1606665493074,1,-1,170,[192.168.1.91- 192.168.1.93],application,info,23,23,,,x
1888,1907,1606665493083,1,-1,171,[192.168.1.91- 192.168.1.93],application,vibrational,19,,,19,x
1897,1921,1606665493092,1,-1,172,[192.168.1.91- 192.168.1.93],application,video,24,,24,,x
1909,1924,1606665493104,1,-1,173,[192.168.1.91- 192.168.1.93],application,info,15,15,,,x
1917,1940,1606665493112,1,-1,174,[192.168.1.91- 192.168.1.93],application,info,23,23,,,
1926,1943,1606665493121,1,-1,175,[192.168.1.91- 192.168.1.93],application,info,17,17,,,x
1938,1951,1606665493133,1,-1,176,[192.168.1.91- 192.168.1.93],application,info,13,13,,,x
1946,1982,1606665493141,1,-1,177,[192.168.1.91- 192.168.1.93],application,vibrational,36,,,36,x
1956,2003,1606665493151,1,-1,178,[192.168.1.91- 192.168.1.93],application,vibrational,47,,,47,x
1971,2007,1606665493166,1,-1,179,[192.168.1.91- 192.168.1.93],application,info,36,36,,,x
1982,2009,1606665493177,1,-1,180,[192.168.1.91- 192.168.1.93],application,vibrational,27,,,27,x
1993,2012,1606665493188,1,-1,181,[192.168.1.91- 192.168.1.93],application,info,19,19,,,x
2006,2029,1606665493201,1,-1,182,[192.168.1.91- 192.168.1.93],application,video,23,,23,,x
2018,2035,1606665493213,1,-1,183,[192.168.1.91- 192.168.1.93],application,video,17,,17,,x
2029,2065,1606665493224,1,-1,184,[192.168.1.91- 192.168.1.93],application,info,36,36,,,
2040,2067,1606665493235,1,-1,185,[192.168.1.91- 192.168.1.93],application,info,27,27,,,x
2054,2073,1606665493249,1,-1,186,[192.168.1.91- 192.168.1.93],application,info,19,19,,,x
